205.00;SPY151113C00205000;0.1561;13
205.50;SPY151113C00205500;0.1506;13
206.00;SPY151113C00206000;0.1472;13
206.50;SPY151113C00206500;0.1436;13
207.00;SPY151113C00207000;0.1397;13
207.50;SPY151113C00207500;0.1367;13
208.00;SPY151113C00208000;0.1326;13
208.50;SPY151113C00208500;0.1299;13
209.00;SPY151113C00209000;0.1253;13
209.50;SPY151113C00209500;0.1232;13
210.00;SPY151113C00210000;0.1202;13
210.50;SPY151113C00210500;0.1173;13
205.00;SPY151106C00205000;0.1650;6
205.50;SPY151106C00205500;0.1587;6
206.00;SPY151106C00206000;0.1499;6
206.50;SPY151106C00206500;0.1466;6
207.00;SPY151106C00207000;0.1379;6
207.50;SPY151106C00207500;0.1365;6
208.00;SPY151106C00208000;0.1309;6
208.50;SPY151106C00208500;0.1311;6
209.00;SPY151106C00209000;0.1261;6
209.50;SPY151106C00209500;0.1221;6
210.00;SPY151106C00210000;0.1160;6
210.50;SPY151106C00210500;0.1138;6
205.00;SPY151120C00205000;0.1530;20
205.50;SPY151120C00205500;0.1505;20
206.00;SPY151120C00206000;0.1471;20
206.50;SPY151120C00206500;0.1441;20
207.00;SPY151120C00207000;0.1415;20
207.50;SPY151120C00207500;0.1388;20
208.00;SPY151120C00208000;0.1349;20
208.50;SPY151120C00208500;0.1327;20
209.00;SPY151120C00209000;0.1303;20
209.50;SPY151120C00209500;0.1276;20
210.00;SPY151120C00210000;0.1250;20
210.50;SPY151120C00210500;0.1215;20
